movie_title,year,place,star_cast,rating,vote,link
North by Northwest,1959,98,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",8.254467544345669,,/title/tt0053125/
Spider-Man: No Way Home,2021,99,"Jon Watts (dir.), Tom Holland, Zendaya",8.250767747833015,,/title/tt10872600/
 Vertigo,1958,10,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",8.248599540673863,,/title/tt0052357/
Le fabuleux destin d'Amélie Poulain,2001,101,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",8.247619392368216,,/title/tt0211915/
A Clockwork Orange,1971,102,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",8.24590593423878,,/title/tt0066921/
Idi i smotri,1985,103,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",8.24196046573068,,/title/tt0091251/
Full Metal Jacket,1987,104,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",8.240656960745635,,/title/tt0093058/
Double Indemnity,1944,105,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",8.238051632474566,,/title/tt0036775/
The Apartment,1960,106,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",8.237277169872364,,/title/tt0053604/
Scarface,1983,107,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",8.235087811397678,,/title/tt0086250/
Taxi Driver,1976,108,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",8.229734375935703,,/title/tt0075314/
To Kill a Mockingbird,1962,109,"Robert Mulligan (dir.), Gregory Peck, John Megna",8.229481009589668,,/title/tt0056592/
Ikiru,1952,110,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",8.22915511302188,,/title/tt0044741/
The Sting,1973,111,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.229122471979348,,/title/tt0070735/
Hamilton,2020,112,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo",8.226770157852007,,/title/tt8503618/
LA Confidential,1997,113,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",8.226161202502652,,/title/tt0119488/
Up,2009,114,"Pete Docter (dir.), Edward Asner, Jordan Nagai",8.224028334083066,,/title/tt1049413/
Heat,1995,115,"Michael Mann (dir.), Al Pacino, Robert De Niro",8.22280220015592,,/title/tt0113277/
Metropolis,1927,116,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",8.221528564668626,,/title/tt0017136/
Snatch,2000,117,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",8.221095153741995,,/title/tt0208092/
Jodaeiye Nader az Simin,2011,118,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",8.220631143939528,,/title/tt1832382/
Die Hard,1988,119,"John McTiernan (dir.), Bruce Willis, Alan Rickman",8.220345698239802,,/title/tt0095016/
Incendies,2010,120,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",8.218742284817338,,/title/tt1255953/
Indiana Jones and the Last Crusade,1989,121,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",8.218625282411722,,/title/tt0097576/
Ladri di biciclette,1948,122,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.218188699036968,,/title/tt0040522/
1917,2019,123,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",8.212533671436976,,/title/tt8579674/
Taare Zameen Par,2007,124,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.206132374253707,,/title/tt0986264/
Der Untergang,2004,125,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",8.204683550609877,,/title/tt0363163/
Per qualche dollaro in più,1965,126,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",8.203948462889226,,/title/tt0059578/
Batman Begins,2005,127,"Christopher Nolan (dir.), Christian Bale, Michael Caine",8.203004439802044,,/title/tt0372784/
Dangal,2016,128,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.197796152220562,,/title/tt5074352/
The Kid,1921,129,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",8.194980421375012,,/title/tt0012349/
Some Like It Hot,1959,130,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",8.1916835689178,,/title/tt0053291/
The Father,2020,131,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman",8.184287026855849,,/title/tt10272386/
All About Eve,1950,132,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",8.180114085100932,,/title/tt0042192/
Green Book,2018,133,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",8.174253783607003,,/title/tt6966692/
The Wolf of Wall Street,2013,134,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",8.170501667347601,,/title/tt0993846/
Judgment at Nuremberg,1961,135,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",8.167830556718163,,/title/tt0055031/
Unforgiven,1992,136,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",8.16535145397528,,/title/tt0105695/
Pan's Labyrinth,2006,137,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",8.164175189087262,,/title/tt0457430/
Casino,1995,138,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",8.163588724315213,,/title/tt0112641/
Ran,1985,139,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",8.162948131003315,,/title/tt0089881/
There Will Be Blood,2007,140,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",8.15387841569443,,/title/tt0469494/
